speaker,timestamp,End Time,words,tags

Jim Akenson,[00:00:00:00],00:00:41:05,"The. Are you running that? I feel the biggest change that we saw was the massive wildfire of the year 2000 and it just changed everything. Basically, it changed the infrastructure of the facility. It changed how wildlife interacted in that environment. It changed our role as managers and scientists at that field station, because so much of what we did was either directly, it was everything was directly oriented to the fire, either the effect on our water system and our fences or the interest in research which came about.",wildfire
Jim Akenson,[00:00:41:05],00:01:19:09,"And there was a lot of interest in research from a forestry perspective, from the tree or that the tree ecology, so to speak, vegetative ecology, rangeland ecology and Jim Peek did a lot of work in, in that arena, both with pre and post fire data to look at for comparison and the stream itself. You know it lost a lot of its riparian cover and and that whole dynamic changed flows changed with runoff.",wildfire
Jim Akenson,[00:01:19:11],00:01:54:11,"The stability of the airstrip had to be dealt with. There was so many things that that fire affected and it really from our personal or carnivore research perspective I felt took us out of a forefront situation and directly comparable to what was going on in the Yellowstone system with the work we were doing, to not having the time anymore, to really look at how wolves, for instance, were affecting the mountain lion, the cougar situation.",wolves;aviation
Jack Kredell,[00:01:54:13],00:01:59:23,Can you talk about how the fire affected you both personally?,
Jim Akenson,[00:02:00:01],00:02:28:11,"Yeah, it it was high drama for us, and we'd been through fire before Taylor Ranch in 1988, the same time Yellowstone was going through its big fire episode. We had a 100,000 acre fire that was primarily to the north of Big Creek, but was a threat to Taylor Ranch. And we spent, a few weeks. I won't say under siege, but under the protection of the Forest Service.",wildfire
Jim Akenson,[00:02:28:11],00:03:07:09,"With that fire positioned just to the north of us. And remember what that complex was called at that time. But it was a major fire, Golden Creek fire. But it was nothing like what we experienced with the Diamond Point fire and the big fire of 2000, which involved multiple fires merging together, us having to evacuate the field station and going to our nearest neighbor 21 miles away, and then having the opportunity or the misfortune to experience a real firestorm.",wildfire
Jim Akenson,[00:03:07:11],00:03:33:02,"Once we were at the flying B on the middle fork of the Salmon. It was high drama. It was scary. It was, in a way, life changing to go through that sort of an experience and something that people who are living in remote situations today are typically not given the opportunity to experience.",
Holly Akenson,[00:03:33:04],00:04:08:18,"I think for me, the the fire was the first time I really felt like, you know, this is what wilderness is about. We have no control over this environment or what's going to happen to us. We don't have the option to just fly out or be rescued in a helicopter. so that was quite a different feeling. We had always been comfortable in the wilderness and not afraid of what might happen or, you know what, that we might be in danger in the backcountry.",wildfire;wilderness;
Holly Akenson,[00:04:08:18],00:04:28:11,"But that was truly a sense of knowing that we had no power over nature, and nature was going to do whatever happened. And we were we were going to be the victims of it. Whether it turned out well or not well. So that was certainly a big enlightening perspective for me.",perspective;wonder
Jim Akenson,[00:04:28:13],00:04:54:00,"And it was a level of stimulation that I don't think I've ever felt before, particularly when we were at the Flying B and we had a dozen or so people that were all in the same situation. And we knew that our survival was dependent upon our emergency plan, implementing that plan and our instincts and how we responded at that moment to what was going on.",aviation
