speaker,timestamp,words,tags
,,,
Ed Krumpe,00:00:00:01,"Hello, I'm Ed Krumpe. I'm a retired professor from the College of Natural Resources. I came to the University of Idaho in 1979 to teach the wilderness management course. And that first season I was here, because I had been a park superintendent and had been a carpenter before that, I was tasked with going in and looking at this University facility they called Taylor Ranch. It had 64 acres that had been homesteaded by Jess Taylor, who was a famous outfitter and then later became a site for research for Professor Maurice Hornocker. He was the first person in the world to radio collar cougars. And so for 27 years there were cougars radio collared in there. But they flew me in and of course Taylor Ranch is what you hear them call it, and I was expecting a ranch. And it's not. It's 64 acres on Big Creek, a beautiful creek. It's a small river that is the primary tributary to the Middle Fork, seven miles up from the from the Middle Fork of the Salmon River. And there were several log cabins, some historic, and there were a couple of newer structures. Things weren't in very good repair. And there were seasonal interns that would work on science projects in there. But the University had retained an outfitter that actually took care of and was the caretaker of the place in exchange for hunting privileges.",legacy
,,,
Ed Krumpe,00:01:27:20,"And then the students would would come and go, but it was in rough condition. And so I mean, when I first saw it, I gotta tell you my first surprise was this isn't a ranch. It's in a steep canyon river valley. But there's something special about that piece of landscape, I guess I call it a sense of place you feel when you step out of the plane, or even if you're hiking and cross the pack bridge onto the property. And you look around, there's just, it's like there's everything you'd need to survive there. You have a view to the north of the grass covered south-facong mountain benches. There's three, three levels of benches, where the elk and bighorn sheep and deer come in the winter to graze, when there's snow everywhere else, they can still browse there. We've counted up to 64 animals at a time of elk, bighorn and deer on the slopes. The stream is a primary tributary to the Middle Fork of the Salmon River and there's salmon that run up it some 750 miles from the west coast. There's lots of native cutthroat and bull trout. And then there are two small streams. One very small stream, Pioneer Creek, comes right through the complex where some of the cabins are. And at the west end of the property is Rush Creek. And that also crosses our property. And that's a fair sized stream. And there's a lot of anadromous fish that still go up yearly. And so you have this combination of open spaces facing to the south, and others that are north facing. And you have two streams plus the major Big Creek and it's wide open. You get the sun in the summer. It's just it's just a special place when you look at it. And before long you start hiking around and pretty soon you find signs that someone else has been here. Like you go downstream less than a mile and there's these depressions in the ground, which people used to speculate was where trees fell over and that the depression was from the root ball? Or was that from miners scratching and digging holes looking for something? Well, they were from ancient pit houses. Pioneers called them the Sheep Eater Indians, but there were indigenous people there a long time prior to that.",indigenous
,,,
Ed Krumpe,00:03:48:13,"Yeah, ancient ancient houses that finally were excavated. So one of the archaeologists from the University of Idaho, Dr. Frank Leonhardy, came in, he had a grant from the National Geographic Society, and started an archeological dig. He discovered those pit houses were dug into the ground. And then there would be dark colored circular holes along each side where the inhabitants anchored tree limbs and made like Quonset huts and covered that with bark and skins and brush and stuff. And there'd be a firepit in one end of each house. And these excavations by the archaeologists revealed the house pits were quite deep. Because they were sunken in like that the inhabitants could survive the super hot summer, but they could also survive in winter because they had some of the insulating temperature from the ground to help protect them. And then there's lots of bones and things they excavated in the fire pits. But you look around, I mean, and elsewhere closer to the Taylor Ranch there's some nice flat spots by the stream to make a camp on. And you just kind of look around and there's everything you need. There's some shade, there's some open vistas there. There's the water, there's places to graze stock if you had stock or horses, it's just, it's just a special place.",indigenous
,,,
Ed Krumpe,00:05:09:02,"And I've noticed for years, because I've been going in since 1979, that people come in to walk around and they're just, they're quiet. They just look around and they say, Holy cow, this is a huge valley. I mean, that's from their view of the benches across the stream. They rise almost 2000 feet. So there's, there's just something special. Old David Lewis that homesteaded this property picked a great spot. And then after that, Jess Taylor and a great scientist Maurice Honocker saw the value of it. And we're just blessed the University at the time was willing to put up about $100,000 to eventually buy it, which was a steal. So yeah, that's, that's my first impressions. But I still feel that it's a special place, you have a sense of place. And many others have mentioned the same thing.",wilderness
,,,
Jack Kredell,00:06:12:03,And it sounds like the mountain leaders also knew it was a great spot.,
